Address,Postcode,Floor Area,House Number,Street Name
"17 Andrews Road, Earley",RG6 7PJ,1033,17,Andrews Road
"30 ANDREWS ROAD, EARLEY",RG6 7PJ,1389,30,ANDREWS ROAD
"13, Andrews Road, Earley",RG6 7PJ,1130,13,Andrews Road
"37, Andrews Road, Earley",RG6 7PJ,1281,37,Andrews Road
"31, Andrews Road, Earley",RG6 7PJ,1184,31,Andrews Road
"41, Andrews Road, Earley",RG6 7PJ,1345,41,Andrews Road
"21, Andrews Road, Earley",RG6 7PJ,1615,21,Andrews Road
"19, Andrews Road, Earley",RG6 7PJ,1163,19,Andrews Road
"28 , Andrews Road, Earley",RG6 7PJ,1055,28,
"33, Andrews Road, Earley",RG6 7PJ,1841,33,Andrews Road
"16, Andrews Road, Earley",RG6 7PJ,721,16,Andrews Road
"10, Andrews Road, Earley",RG6 7PJ,1055,10,Andrews Road
"1, Andrews Road, Earley",RG6 7PJ,1014,1,Andrews Road
"11, Andrews Road, Earley",RG6 7PJ,1260,11,Andrews Road
"12, Andrews Road, Earley",RG6 7PJ,1152,12,Andrews Road
"8 Bramley Close, Earley",RG6 7PL,1206,8,Bramley Close
"5 Bramley Close, Earley",RG6 7PL,1819,5,Bramley Close
"4, Bramley Close, Earley",RG6 7PL,1819,4,Bramley Close
"9, Bramley Close, Earley",RG6 7PL,1313,9,Bramley Close
"7, Bramley Close, Earley",RG6 7PL,1184,7,Bramley Close
"1, Bramley Close, Earley",RG6 7PL,990,1,Bramley Close
"3, Bramley Close, Earley",RG6 7PL,1615,3,Bramley Close
"6, Bramley Close, Earley",RG6 7PL,1367,6,Bramley Close
"5, Bramley Close, Earley",RG6 7PL,1808,5,Bramley Close
"4 Lakeside, Earley",RG6 7PQ,1270,4,Lakeside
"8, Lakeside, Earley",RG6 7PQ,1335,8,Lakeside
"6, Lakeside, Earley",RG6 7PQ,1292,6,Lakeside
"10, Lakeside, Earley",RG6 7PQ,947,10,Lakeside
"40, Lakeside, Earley",RG6 7PQ,1109,40,Lakeside
"44, Lakeside, Earley",RG6 7PQ,1550,44,Lakeside
"38, Lakeside, Earley",RG6 7PQ,1119,38,Lakeside
"28, Lakeside, Earley",RG6 7PQ,1755,28,Lakeside
"18, Lakeside, Earley",RG6 7PQ,1356,18,Lakeside
"2, Lakeside, Earley",RG6 7PQ,893,2,Lakeside
"36, Lakeside, Earley",RG6 7PQ,958,36,Lakeside
"36, Lakeside, Earley",RG6 7PQ,883,36,Lakeside
"38, Lakeside, Earley",RG6 7PQ,1033,38,Lakeside
"46, Lakeside, Earley",RG6 7PQ,866,46,Lakeside
"83 Wilderness Road, Earley",RG6 7RF,1130,83,Wilderness Road
"65, Wilderness Road, Earley",RG6 7RF,1959,65,Wilderness Road
"77, Wilderness Road, Earley",RG6 7RF,1668,77,Wilderness Road
"67, Wilderness Road, Earley",RG6 7RF,1335,67,Wilderness Road
"65, Wilderness Road, Earley",RG6 7RF,1938,65,Wilderness Road
"13 BETCHWORTH AVENUE, EARLEY",RG6 7RH,1970,13,BETCHWORTH AVENUE
"39 BETCHWORTH AVENUE, EARLEY",RG6 7RH,2002,39,BETCHWORTH AVENUE
"37 BETCHWORTH AVENUE, EARLEY",RG6 7RH,1582,37,BETCHWORTH AVENUE
"7, Betchworth Avenue, Earley",RG6 7RH,2680,7,Betchworth Avenue
"11, Betchworth Avenue, Earley",RG6 7RH,2217,11,Betchworth Avenue
"9, Betchworth Avenue, Earley",RG6 7RH,1615,9,Betchworth Avenue
"17, Betchworth Avenue, Earley",RG6 7RH,1421,17,Betchworth Avenue
"15, Betchworth Avenue, Earley",RG6 7RH,2013,15,Betchworth Avenue
"21, Betchworth Avenue, Earley",RG6 7RH,1658,21,Betchworth Avenue
"3, Betchworth Avenue, Earley",RG6 7RH,1367,3,Betchworth Avenue
"1a, Betchworth Avenue, Earley",RG6 7RH,1722,1,a
"29, Betchworth Avenue, Earley",RG6 7RH,1539,29,Betchworth Avenue
"5, Betchworth Avenue, Earley",RG6 7RH,1711,5,Betchworth Avenue
"5, Betchworth Avenue, Earley",RG6 7RH,1548,5,Betchworth Avenue
"35, Betchworth Avenue, Earley",RG6 7RH,1042,35,Betchworth Avenue
"26 Betchworth Avenue, Earley",RG6 7RJ,1733,26,Betchworth Avenue
"22 BETCHWORTH AVENUE, EARLEY",RG6 7RJ,1324,22,BETCHWORTH AVENUE
"20, Betchworth Avenue, Earley",RG6 7RJ,1572,20,Betchworth Avenue
"6, Betchworth Avenue, Earley",RG6 7RJ,1561,6,Betchworth Avenue
"34, Betchworth Avenue, Earley",RG6 7RJ,990,34,Betchworth Avenue
"12, Betchworth Avenue, Earley",RG6 7RJ,1572,12,Betchworth Avenue
"12, Betchworth Avenue, Earley",RG6 7RJ,1625,12,Betchworth Avenue
"24, Betchworth Avenue, Earley",RG6 7RJ,1302,24,Betchworth Avenue
"26, Betchworth Avenue, Earley",RG6 7RJ,1884,26,Betchworth Avenue
"10, Betchworth Avenue, Earley",RG6 7RJ,1345,10,Betchworth Avenue
"2a, Betchworth Avenue, Earley",RG6 7RJ,2097,2,a
"1, Buckhurst Way, Earley",RG6 7RL,1776,1,Buckhurst Way
"30 Luckmore Drive, Earley",RG6 7RP,1927,30,Luckmore Drive
"7, Luckmore Drive, Earley",RG6 7RP,1227,7,Luckmore Drive
"1, Luckmore Drive, Earley",RG6 7RP,1701,1,Luckmore Drive
"24, Luckmore Drive, Earley",RG6 7RP,1195,24,Luckmore Drive
"3, Luckmore Drive, Earley",RG6 7RP,1701,3,Luckmore Drive
"24, Luckmore Drive, Earley",RG6 7RP,1173,24,Luckmore Drive
"19, Luckmore Drive, Earley",RG6 7RP,1141,19,Luckmore Drive
"10, Luckmore Drive, Earley",RG6 7RP,1119,10,Luckmore Drive
"March House, Luckmore Drive, Earley",RG6 7RP,1744,,March House
"36, Luckmore Drive, Earley",RG6 7RP,2024,36,Luckmore Drive
"8, Luckmore Drive, Earley",RG6 7RP,1142,8,Luckmore Drive
"27, Luckmore Drive, Earley",RG6 7RP,1542,27,Luckmore Drive
"30, Luckmore Drive, Earley",RG6 7RP,1720,30,Luckmore Drive
"11, Luckmore Drive, Earley",RG6 7RP,1744,11,Luckmore Drive
"47, Wilderness Road, Earley",RG6 7RR,1873,47,Wilderness Road
"61, Wilderness Road, Earley",RG6 7RR,2131,61,Wilderness Road
"57, Wilderness Road, Earley",RG6 7RR,1905,57,Wilderness Road
"55, Wilderness Road, Earley",RG6 7RR,2067,55,Wilderness Road
"53, Wilderness Road, Earley",RG6 7RR,1722,53,Wilderness Road
"59, Wilderness Road, Earley",RG6 7RR,1464,59,Wilderness Road
"61, Wilderness Road, Earley",RG6 7RR,1841,61,Wilderness Road
"61, Wilderness Road, Earley",RG6 7RR,2164,61,Wilderness Road
"51, Wilderness Road, Earley",RG6 7RR,1798,51,Wilderness Road
"63, Wilderness Road, Earley",RG6 7RR,1647,63,Wilderness Road
"67 Ramsbury Drive, Earley",RG6 7RS,1249,67,Ramsbury Drive
"28, Ramsbury Drive, Earley",RG6 7RS,1087,28,Ramsbury Drive
"59, Ramsbury Drive, Earley",RG6 7RS,1453,59,Ramsbury Drive
"28, Ramsbury Drive, Earley",RG6 7RS,1033,28,Ramsbury Drive
"24, Ramsbury Drive, Earley",RG6 7RS,1033,24,Ramsbury Drive
"18, Ramsbury Drive, Earley",RG6 7RS,1787,18,Ramsbury Drive
"18, Ramsbury Drive, Earley",RG6 7RS,2029,18,Ramsbury Drive
"29 Ramsbury Drive, Earley",RG6 7RT,1410,29,Ramsbury Drive
"23 Ramsbury Drive, Earley",RG6 7RT,2379,23,Ramsbury Drive
"37 Ramsbury Drive, Earley",RG6 7RT,1625,37,Ramsbury Drive
"19, Ramsbury Drive, Earley",RG6 7RT,1076,19,Ramsbury Drive
"1, Ramsbury Drive, Earley",RG6 7RT,1098,1,Ramsbury Drive
"15, Ramsbury Drive, Earley",RG6 7RT,1733,15,Ramsbury Drive
"23, Ramsbury Drive, Earley",RG6 7RT,1668,23,Ramsbury Drive
"43, Ramsbury Drive, Earley",RG6 7RT,1668,43,Ramsbury Drive
"45, Ramsbury Drive, Earley",RG6 7RT,1292,45,Ramsbury Drive
"9, Ramsbury Drive, Earley",RG6 7RT,2067,9,Ramsbury Drive
"29, Ramsbury Drive, Earley",RG6 7RT,1841,29,Ramsbury Drive
"25, Ramsbury Drive, Earley",RG6 7RT,1679,25,Ramsbury Drive
"11, Ramsbury Drive, Earley",RG6 7RT,1938,11,Ramsbury Drive
"39, Ramsbury Drive, Earley",RG6 7RT,1830,39,Ramsbury Drive
"49, Ramsbury Drive, Earley",RG6 7RT,1389,49,Ramsbury Drive
"4, Ramsbury Drive, Earley",RG6 7RT,1485,4,Ramsbury Drive
"16, Ramsbury Drive, Earley",RG6 7RT,2024,16,Ramsbury Drive
"35, Ramsbury Drive, Earley",RG6 7RT,983,35,Ramsbury Drive
"8, Ramsbury Drive, Earley",RG6 7RT,570,8,Ramsbury Drive
"7 Wilderness Road, Earley",RG6 7RU,2508,7,Wilderness Road
"23 Wilderness Road, Earley",RG6 7RU,2239,23,Wilderness Road
"The Annex, 13 Wilderness Road",RG6 7RU,344,,The Annex
"19 WILDERNESS ROAD, EARLEY",RG6 7RU,2497,19,WILDERNESS ROAD
"15 WILDERNESS ROAD, EARLEY",RG6 7RU,1755,15,WILDERNESS ROAD
"Il Salone, 13 Wilderness Road, Earley",RG6 7RU,312,,Il Salone
"25, Wilderness Road, Earley",RG6 7RU,2110,25,Wilderness Road
"33, Wilderness Road, Earley",RG6 7RU,2088,33,Wilderness Road
"First Floor Flat, 1 Wilderness Road, Earley",RG6 7RU,635,,First Floor Flat
"39, Wilderness Road, Earley",RG6 7RU,1658,39,Wilderness Road
"21, Wilderness Road, Earley",RG6 7RU,2034,21,Wilderness Road
"5, Wilderness Road, Earley",RG6 7RU,2034,5,Wilderness Road
"37, Wilderness Road, Earley",RG6 7RU,1981,37,Wilderness Road
"33, Wilderness Road, Earley",RG6 7RU,1636,33,Wilderness Road
"39, Wilderness Road, Earley",RG6 7RU,1701,39,Wilderness Road
"41, Wilderness Road, Earley",RG6 7RU,1281,41,Wilderness Road
"17, Wilderness Road, Earley",RG6 7RU,1367,17,Wilderness Road
"23, Wilderness Road, Earley",RG6 7RU,2110,23,Wilderness Road
"9 Fowler Close, Earley",RG6 7SS,1173,9,Fowler Close
"14 Fowler Close, Earley",RG6 7SS,1442,14,Fowler Close
"13, Fowler Close, Earley",RG6 7SS,1076,13,Fowler Close
"2, Fowler Close, Earley",RG6 7SS,1033,2,Fowler Close
"5, Fowler Close, Earley",RG6 7SS,1044,5,Fowler Close
"6, Fowler Close, Earley",RG6 7SS,861,6,Fowler Close
"7, Fowler Close, Earley",RG6 7SS,893,7,Fowler Close
"4, Fowler Close, Earley",RG6 7SS,915,4,Fowler Close
"8, Fowler Close, Earley",RG6 7SS,926,8,Fowler Close
"9, Fowler Close, Earley",RG6 7SS,1152,9,Fowler Close
"14, Fowler Close, Earley",RG6 7SS,1528,14,Fowler Close
"7, Fowler Close, Earley",RG6 7SS,877,7,Fowler Close
"14, Fowler Close, Earley",RG6 7SS,1761,14,Fowler Close
"3, Formby Close, Earley",RG6 7XH,1518,3,Formby Close
"6, Formby Close, Earley",RG6 7XH,1432,6,Formby Close
"2, Formby Close, Earley",RG6 7XH,1442,2,Formby Close
"2, Formby Close, Earley",RG6 7XH,1335,2,Formby Close
"2, Formby Close, Earley",RG6 7XH,1410,2,Formby Close
"5, Formby Close, Earley",RG6 7XH,1435,5,Formby Close
"3, Formby Close, Earley",RG6 7XH,1407,3,Formby Close
"4, Rhodes Close, Earley",RG6 7XJ,1281,4,Rhodes Close
"4, Rhodes Close, Earley",RG6 7XJ,1249,4,Rhodes Close
"2, Rhodes Close, Earley",RG6 7XJ,1141,2,Rhodes Close
"9, Rhodes Close, Earley",RG6 7XJ,1636,9,Rhodes Close
"8, Rhodes Close, Earley",RG6 7XJ,1475,8,Rhodes Close
"4, Rhodes Close, Earley",RG6 7XJ,1206,4,Rhodes Close
"6, Rhodes Close, Earley",RG6 7XJ,1389,6,Rhodes Close
"7 Limefield Close, Earley",RG6 7XL,1055,7,Limefield Close
"6 LIMEFIELD CLOSE, EARLEY",RG6 7XL,1227,6,LIMEFIELD CLOSE
"1, Limefield Close, Earley",RG6 7XL,1238,1,Limefield Close
"7, Limefield Close, Earley",RG6 7XL,1238,7,Limefield Close
"10 Melling Close, Earley",RG6 7XN,786,10,Melling Close
"29 MELLING CLOSE, EARLEY",RG6 7XN,764,29,MELLING CLOSE
"24, Melling Close, Earley",RG6 7XN,614,24,Melling Close
"25, Melling Close, Earley",RG6 7XN,603,25,Melling Close
"39, Melling Close, Earley",RG6 7XN,872,39,Melling Close
"45, Melling Close, Earley",RG6 7XN,883,45,Melling Close
"35, Melling Close, Earley",RG6 7XN,840,35,Melling Close
"30, Melling Close, Earley",RG6 7XN,624,30,Melling Close
"4, Melling Close, Earley",RG6 7XN,1636,4,Melling Close
"12, Melling Close, Earley",RG6 7XN,797,12,Melling Close
"7, Melling Close, Earley",RG6 7XN,1023,7,Melling Close
"7, Melling Close, Earley",RG6 7XN,1023,7,Melling Close
"2, Melling Close, Earley",RG6 7XN,1152,2,Melling Close
"7, Melling Close, Earley",RG6 7XN,1421,7,Melling Close
"22, Melling Close, Earley",RG6 7XN,603,22,Melling Close
"31, Melling Close, Earley",RG6 7XN,797,31,Melling Close
"32, Melling Close, Earley",RG6 7XN,1109,32,Melling Close
"32, Melling Close, Earley",RG6 7XN,818,32,Melling Close
"45, Melling Close, Earley",RG6 7XN,861,45,Melling Close
"22, Melling Close, Earley",RG6 7XN,614,22,Melling Close
"44, Melling Close, Earley",RG6 7XN,786,44,Melling Close
"20, Melling Close, Earley",RG6 7XN,603,20,Melling Close
"28, Melling Close, Earley",RG6 7XN,614,28,Melling Close
"14, Melling Close, Earley",RG6 7XN,1163,14,Melling Close
"36, Melling Close, Earley",RG6 7XN,1324,36,Melling Close
"17, Melling Close, Earley",RG6 7XN,1109,17,Melling Close
"19, Melling Close, Earley",RG6 7XN,635,19,Melling Close
"21, Melling Close, Earley",RG6 7XN,635,21,Melling Close
"16, Melling Close, Earley",RG6 7XN,1378,16,Melling Close
"42, Melling Close, Earley",RG6 7XN,710,42,Melling Close
"1, Melling Close, Earley",RG6 7XN,1270,1,Melling Close
"31, Melling Close, Earley",RG6 7XN,807,31,Melling Close
"29, Melling Close, Earley",RG6 7XN,615,29,Melling Close
"28, Melling Close, Earley",RG6 7XN,607,28,Melling Close
"25, Melling Close, Earley",RG6 7XN,613,25,Melling Close
"19, Melling Close, Earley",RG6 7XN,623,19,Melling Close
"10, Melling Close, Earley",RG6 7XN,813,10,Melling Close
"5 Ribbleton Close, Earley",RG6 7XW,850,5,Ribbleton Close
"6, Ribbleton Close, Earley",RG6 7XW,840,6,Ribbleton Close
"3, Ribbleton Close, Earley",RG6 7XW,829,3,Ribbleton Close
"1, Ribbleton Close, Earley",RG6 7XW,1152,1,Ribbleton Close
"1, Ribbleton Close, Earley",RG6 7XW,1216,1,Ribbleton Close
"7, Ribbleton Close, Earley",RG6 7XW,1141,7,Ribbleton Close
"1, Ribbleton Close, Earley",RG6 7XW,1087,1,Ribbleton Close
"8, Ribbleton Close, Earley",RG6 7XW,1292,8,Ribbleton Close
"6, Ribbleton Close, Earley",RG6 7XW,814,6,Ribbleton Close
"3 Mace Close, Earley",RG6 7XX,818,3,Mace Close
"4, Mace Close, Earley",RG6 7XX,840,4,Mace Close
"5, Mace Close, Earley",RG6 7XX,807,5,Mace Close
"6, Mace Close, Earley",RG6 7XX,829,6,Mace Close
"7, Mace Close, Earley",RG6 7XX,872,7,Mace Close
"3, Mace Close, Earley",RG6 7XX,777,3,Mace Close
"7 PLYMPTON CLOSE, EARLEY",RG6 7XZ,990,7,PLYMPTON CLOSE
"8, Plympton Close, Earley",RG6 7XZ,1173,8,Plympton Close
"12a, Plympton Close, Earley",RG6 7XZ,1141,12,a
"2, Plympton Close, Earley",RG6 7XZ,1206,2,Plympton Close
"15, Plympton Close, Earley",RG6 7XZ,1152,15,Plympton Close
"7a, Plympton Close, Earley",RG6 7XZ,603,7,a
"4, Plympton Close, Earley",RG6 7XZ,1173,4,Plympton Close
"6, Plympton Close, Earley",RG6 7XZ,1159,6,Plympton Close
"6 Toseland Way, Lower Earley",RG6 7YA,1367,6,Toseland Way
"22 Toseland Way, Lower Earley",RG6 7YA,1421,22,Toseland Way
"15, Toseland Way, Lower Earley",RG6 7YA,1152,15,Toseland Way
"2, Toseland Way, Lower Earley",RG6 7YA,1195,2,Toseland Way
"3, Toseland Way, Lower Earley",RG6 7YA,990,3,Toseland Way
"24, Toseland Way, Lower Earley",RG6 7YA,1173,24,Toseland Way
